times,P_opt,P_original,P_TEMPO,Pdiff_orig_opt,diff_orig_TEMPO
0,1,1,1,0,0
0.141657137,0.989821831,0.989821831,0.989820679,3.33E-16,1.15E-06
0.283314274,0.960997612,0.960997612,0.960993202,3.33E-16,4.41E-06
0.424971411,0.918088757,0.918088757,0.91807951,8.67E-18,9.27E-06
0.566628549,0.867103799,0.867103799,0.867088834,5.04E-10,1.50E-05
0.708285686,0.813942177,0.813942183,0.813921305,6.06E-09,2.10E-05
0.849942823,0.76328157,0.7632816,0.763255162,3.18E-08,2.67E-05
0.99159996,0.718127309,0.71812734,0.71809605,3.20E-08,3.17E-05
1.133257097,0.679900433,0.679900448,0.679865176,1.60E-08,3.60E-05
1.274914234,0.648806967,0.64880697,0.648768608,5.04E-09,3.94E-05
1.416571372,0.624268587,0.624268588,0.624227959,1.14E-08,4.20E-05
1.558228509,0.605293813,0.605293823,0.605251628,3.12E-08,4.40E-05
1.699885646,0.5907506,0.590750616,0.590707418,4.89E-08,4.54E-05
1.841542783,0.579544157,0.579544144,0.579500372,1.83E-08,4.65E-05
1.98319992,0.570718078,0.570718087,0.570674055,1.88E-08,4.72E-05
2.124857057,0.563498841,0.563498857,0.56345478,3.16E-08,4.78E-05
2.266514195,0.557300142,0.557300168,0.557256208,5.20E-08,4.82E-05
2.408171332,0.551703077,0.551703079,0.55165933,2.90E-08,4.85E-05
2.549828469,0.546424124,0.546424108,0.546380645,2.04E-08,4.88E-05
2.691485606,0.541280969,0.541280947,0.541237824,2.23E-08,4.91E-05
2.833142743,0.536161805,0.53616179,0.53611903,1.73E-08,4.94E-05
2.97479988,0.531001049,0.531001057,0.530958737,3.03E-08,4.97E-05
3.116457017,0.525761912,0.525761925,0.525720081,3.23E-08,4.99E-05
3.258114155,0.520424689,0.520424697,0.520383356,2.04E-08,5.01E-05
3.399771292,0.514979546,0.51497954,0.514938751,6.35E-09,5.03E-05
3.541428429,0.509422229,0.509422202,0.509381991,3.56E-08,5.05E-05
3.683085566,0.503751613,0.503751573,0.503711956,4.15E-08,5.08E-05
3.824742703,0.497968285,0.497968338,0.497929374,7.52E-08,5.09E-05
3.96639984,0.492074008,0.49207406,0.492035954,7.17E-08,5.09E-05
4.108056978,0.486071217,0.486071242,0.486033987,3.48E-08,5.10E-05
4.249714115,0.479962734,0.479962731,0.47992633,4.65E-09,5.10E-05
4.391371252,0.47375165,0.47375163,0.473716156,2.84E-08,5.10E-05
4.533028389,0.467441257,0.467441234,0.467406698,3.22E-08,5.10E-05
4.674685526,0.461035008,0.461034995,0.461001434,1.48E-08,5.11E-05
4.816342663,0.454536512,0.4545365,0.45450393,1.22E-08,5.11E-05
4.957999801,0.447949479,0.447949465,0.447917932,1.52E-08,5.11E-05
5.099656938,0.44127775,0.44127773,0.441247252,2.44E-08,5.12E-05
5.241314075,0.434525294,0.434525265,0.434495961,4.07E-08,5.11E-05
5.382971212,0.427696219,0.427696178,0.42766809,5.99E-08,5.10E-05
5.524628349,0.420794759,0.420794722,0.420767828,4.49E-08,5.10E-05
5.666285486,0.413825344,0.41382531,0.413799632,5.54E-08,5.09E-05
5.807942624,0.406792552,0.406792524,0.406768118,5.17E-08,5.09E-05
